#   log(MBH)      log(M) ERR
#
       9.013       7.780 2.97
       9.113       7.480 2.87       
       9.213       4.980 0.09
       9.313       4.780 0.15
       9.415       5.780 0.17
       9.952       5.854 0.26
       9.904       6.320 0.29
       9.920       7.157 0.18
      10.107       7.846 0.20
      10.123       8.386 0.21
      10.425       7.586 0.33
      10.368       7.008 0.32
      10.237       7.288 0.21
      10.351       8.386 0.15
      10.384       8.926 0.30
      10.856       8.442 0.27
      11.166       9.075 0.21
      11.068       9.689 0.22
      11.036      10.229 0.17
      11.410       9.447 0.15
      11.459       9.769 0.14
      11.207       9.974 0.08
      11.303       5.310 3.21
      11.403       5.110 3.31
     
