#   colore      magnitudine
#
      0.4064     -5.0484
      0.4250     -5.3649
      0.4250     -5.9235
      0.4250     -5.9235
      0.4343     -6.6682
      0.4343     -8.8090
      0.4343    -10.5405
      0.4809     -9.9261
      0.3552     -9.5724
      0.5088     -9.4048
      0.6159     -8.9580
      0.6159     -8.9580
      0.6112     -9.4420
      0.6159    -10.0751
      0.6671    -10.3357
      0.6671     -8.7532
      0.5228     -8.4925
      0.6391     -7.6550
      0.5228     -7.5805
      0.5228     -7.5805
      0.4855     -7.7664
      0.4855     -7.7664
      0.4855     -7.7664
      0.4855     -7.7664
      0.5228     -7.7664
      0.5507     -7.6550
      0.5507     -7.6550
      0.5507     -7.4316
      0.5507     -7.3757
      0.5507     -7.3757
      0.5553     -7.3385
      0.6298     -6.8730
      0.6298     -6.8730
      0.8393     -6.4262
      0.8113     -6.4262
      0.8113     -6.2772
      0.7788     -5.9235
      0.7788     -5.9235
      0.7695     -5.9235
      0.7695     -5.8863
      0.7695     -5.8490
      0.8067     -5.7932
      0.9695     -5.5697
      1.1464     -5.5139
      1.1464     -5.5139
      1.1231     -5.6442
      1.1231     -5.6442
      1.0999     -5.6442
      1.1231     -6.8916
      1.1231     -6.8916
      1.1231     -7.8595
      1.0533     -7.1895
      1.0440     -7.1523
      1.0114     -6.7613
      1.0114     -6.6868
      1.0114     -6.6682
      1.0114     -6.6496
      1.0068     -6.6496
      0.9324     -6.9475
      0.9324     -6.9475
      0.8905     -6.7799
      0.7322     -7.2268
      0.7322     -7.2268
      0.7089     -7.3757
      0.7089     -7.3757
      0.7089     -7.3757
      0.7089     -7.3757
      0.7089     -7.3757
      0.6391     -7.5991
      0.6531     -8.9580
      0.6531     -8.9393
      0.5135     -8.4180
      0.5135     -8.5484
      0.5135     -8.5856
      0.4762    -10.5964
      1.3000     -5.7373
      1.3000     -5.7373
      1.3000     -6.7613
      1.2767     -6.7613
      1.2348     -6.4634
      1.2302     -6.4634
      1.2302     -6.4634
      1.2488     -6.1841
      1.2488     -6.1841
      1.2488     -6.1841
      1.1650     -5.7001
      1.2116     -5.7187
      1.2721     -5.6256
      1.2860     -5.4394
      1.2860     -5.2905
      1.2814     -5.1788
      1.2814     -5.1788
      1.2814     -5.1788
      1.2628     -5.1788
      1.2628     -5.1788
      1.2628     -5.1788
      1.2628     -5.0671
      1.0440     -4.9181
      1.0440     -4.9181
      0.7089     -4.9181
      0.5786     -5.2905
      0.7089     -5.1974
      0.7369     -5.1974
      1.0347     -6.0538
      1.0347     -6.0538
      1.1464     -6.8730
      1.1464     -6.8730
      1.2116     -7.8781
      1.1464     -8.8276
      1.1464     -8.8276
      1.1464     -9.4793
      1.1464     -9.4793
      1.1464     -9.4420
      1.1464     -9.3303
      1.1743     -9.1814
      1.1743     -9.0511
      1.1743     -8.9766
      1.1743     -8.8463
      1.1743     -8.8463
      1.2348     -8.8090
      1.2302     -8.7159
      1.2302     -8.6415
      1.2302     -8.4739
      1.2255     -7.4688
      1.1929     -8.0084
      1.1464     -7.1523
      1.3465     -6.7241
      1.3465     -6.7241
      1.3745     -6.3703
      1.3931     -6.0538
      1.4024     -5.9793
      1.3931     -5.9235
      1.3931     -5.8676
      1.3931     -5.7373
      1.5281     -5.2719
      1.5281     -5.2719
      1.3233     -5.0671
      1.3233     -5.0671
      1.3233     -5.0671
      1.3419     -5.0671
      1.3838     -5.3836
      1.3791     -5.2346
      1.3838     -5.1601
      1.4443     -5.0484
      1.4396     -5.0484
      1.4536     -4.9181
      1.4489     -4.9181
      1.5234     -4.9181
      1.5234     -4.9181
      1.5234     -4.9181
      1.5234     -4.9181
      1.5234     -4.9181
      1.4489     -5.6070
      1.4443     -5.6070
      1.4071     -6.5193
      1.4071     -6.5193
      1.3838     -6.5193
      1.4210     -7.8781
      1.4024     -8.9207
      1.3884     -8.4553
      1.3884     -8.3994
      1.3000     -9.2186
      1.3000     -9.2186
      1.3140     -8.7532
      1.3093     -8.7718
      1.3233     -8.6601
      1.3186     -8.3622
      1.3186     -8.3063
      1.3186     -8.3063
      1.3186     -8.2132
      1.3093     -8.1946
      1.3093     -7.4688
      1.3047     -7.3199
      1.3000     -7.2454
      1.3652     -7.0778
      1.3140     -8.0457
      1.1790     -8.3994
      1.1464     -8.5670
      1.2162     -9.1814
      1.2162     -9.1441
      1.2162     -9.0883
      1.2395     -8.7532
      1.2348     -8.6973
      1.2302     -8.6973
      1.2302     -8.6228
      1.2860     -7.8781
      1.2860     -7.8781
      1.2860     -7.8781
      1.1929     -7.2268
      1.1836     -7.2268
      0.9602     -6.2586
      0.8067     -8.5856
      0.8067     -8.3994
      0.8579     -8.0457
      0.8579     -7.9898
      0.6671     -8.8463
      0.6671     -8.8463
      0.6484    -10.1868
      0.6717     -9.4607
      0.6903     -9.3862
      0.6903     -9.3862
      0.6903     -9.3676
      0.6252     -8.5670
      0.6252     -8.5670
      0.6252     -8.5670
      0.6252     -8.5670
      0.6252     -8.5484
      0.6252     -8.5484
      0.6019     -8.0084
      0.6019     -8.0084
      0.6159     -8.0084
      0.5460     -7.3571
      0.5553     -7.3571
      0.5553     -7.3571
      0.5553     -7.3571
      0.5414     -6.7799
      0.5414     -6.7241
      0.5414     -6.6310
      0.5553     -6.4448
      0.6345     -5.9421
      0.6345     -5.8863
      0.6345     -5.8863
      0.7183     -6.4076
      0.6438     -6.3517
      0.4250     -5.8490
      0.4250     -5.8490
      0.4250     -5.8490
